OBJECTID,KOD_ZSJ_D,NAZ_ZSJ_D,Shape_Area_m2,Shape_Area_km2,Crimes,Crim.rate,Prop_crimes1,Prop_crimes_km2,Population
62,1473710,Doubravice,1193946.046,1.193946046,5,19.37984496,0.097295194,4.187793926,258
63,1473890,Semt?¡n-sever,3388647.945,3.388647945,4,57.14285714,0.077836155,1.180411794,70
64,1541720,Star?® ?ê?¡vice,4353730.144,4.353730144,17,15.23297491,0.330803658,3.904697682,1116
65,3036660,F?íblovka-v?¢chod,326735.8387,0.326735839,3,750,0.058377116,9.181729219,4
66,3124520,Polabiny V,562745.0864,0.562745086,151,65.79520697,2.938314847,268.3275319,2295
67,3124610,Pardubice-sever,95177.96032,0.09517796,24,13.1147541,0.467016929,252.1592184,1830
68,3124790,Nov?í Cihelna,510731.451,0.510731451,5,5000,0.097295194,9.789880749,0
69,3124870,Nov?¢ Sv?¼t,107473.2746,0.107473275,1,1000,0.019459039,9.304638758,0
70,3181590,U Z?íme?¿ku-z?ípad,176532.6433,0.176532643,15,31.77966102,0.291885581,84.9701208,472
71,3181830,Stud?ínka-pr??myslov?¢ obvod,477556.6057,0.477556606,3,3000,0.058377116,6.281977806,0
72,3184770,Na ?ípici,308457.9258,0.308457926,1,166.6666667,0.019459039,3.241933229,6
73,3212900,Na Dr?í?¥ce-v?¢chod,60470.45307,0.060470453,13,15.71946796,0.252967503,214.9810255,827
74,3213030,Slovany,434270.863,0.434270863,35,18.40168244,0.681066355,80.59486137,1902
75,3213110,Popkovice,350844.3893,0.350844389,16,37.38317757,0.31134462,45.6042636,428
76,3213200,F?íblovka-z?ípad,250130.5153,0.250130515,10,10000,0.194590387,39.9791285,0
77,3213380,Drozdice-pr??myslov?¢ obvod,171173.9043,0.171173904,3,3000,0.058377116,17.52603598,0
78,3213460,U Z?íme?¿ku-v?¢chod,73150.00694,0.073150007,3,12.60504202,0.058377116,41.01161603,238
79,3223690,U Polabin IV,9341.893471,0.009341893,0,0,0,0,0
80,3290110,Kr?®ta,288880.1967,0.288880197,97,149.0015361,1.887526756,335.7793335,651
81,3290290,Pr??myslov?í z??na Star?® ?ê?¡vice,1319603.454,1.319603454,3,3000,0.058377116,2.273410236,0
82,3290370,Na Hald?¼,134156.7871,0.134156787,0,0,0,0,45
83,3290450,Nov?í H??rka,290428.0585,0.290428058,6,1500,0.116754232,20.65916097,4
84,3290530,U Jesni?¿?ínek,124667.3379,0.124667338,1,1000,0.019459039,8.021347179,0
85,3290610,Z?ímek,176870.7022,0.176870702,53,53000,1.031329052,299.6539246,0
86,3290700,Labsk?í,109766.2681,0.109766268,50,225.2252252,0.972951936,455.5133459,222
87,3290880,Zimn?¡ stadion,170397.8865,0.170397886,31,31000,0.6032302,181.9271396,0
88,3290960,?¢idov,224113.6975,0.224113697,18,13.24503311,0.350262697,80.3163762,1359
89,3291000,Dubina-jih,170818.9205,0.170818921,16,33.75527426,0.31134462,93.66643874,474
90,3291180,Obchodn?¡ z??na Trnov?í,251772.3306,0.251772331,162,162000,3.152364273,643.4384563,0
91,3291260,Nov?í Trnov?í,171895.3794,0.171895379,8,24.8447205,0.15567231,46.53993636,322
92,3291340,Obchodn?¡ a v?¢robn?¡ are?íl,335254.7974,0.335254797,10,10000,0.194590387,29.8280594,0
93,3291420,U Vinice,85381.71496,0.085381715,22,7333.333333,0.428098852,257.6664102,3
94,3291510,U krematoria,353409.6129,0.353409613,6,3000,0.116754232,16.97746688,2
